pclass,survived,name,sex,sibsp,parch,ticket,cabin,embarked,boat,home.dest,age_?,age_dabl_continuous,fare_?,fare_dabl_continuous,body_?,body_dabl_continuous
1,1,"Allen, Miss. Elisabeth Walton",female,0,0,24160,B5,S,2,"St Louis, MO",0.0,29.0,0.0,211.3375,1.0,
1,1,"Allison, Master. Hudson Trevor",male,1,2,113781,C22 C26,S,11,"Montreal, PQ / Chesterville, ON",0.0,0.9167,0.0,151.55,1.0,
1,0,"Allison, Miss. Helen Loraine",female,1,2,113781,C22 C26,S,?,"Montreal, PQ / Chesterville, ON",0.0,2.0,0.0,151.55,1.0,
1,0,"Allison, Mr. Hudson Joshua Creighton",male,1,2,113781,C22 C26,S,?,"Montreal, PQ / Chesterville, ON",0.0,30.0,0.0,151.55,0.0,135.0
1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,1,2,113781,C22 C26,S,?,"Montreal, PQ / Chesterville, ON",0.0,25.0,0.0,151.55,1.0,
1,1,"Anderson, Mr. Harry",male,0,0,19952,E12,S,3,"New York, NY",0.0,48.0,0.0,26.55,1.0,
1,1,"Andrews, Miss. Kornelia Theodosia",female,1,0,13502,D7,S,10,"Hudson, NY",0.0,63.0,0.0,77.9583,1.0,
1,0,"Andrews, Mr. Thomas Jr",male,0,0,112050,A36,S,?,"Belfast, NI",0.0,39.0,0.0,0.0,1.0,
1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,2,0,11769,C101,S,D,"Bayside, Queens, NY",0.0,53.0,0.0,51.4792,1.0,
1,0,"Artagaveytia, Mr. Ramon",male,0,0,PC 17609,?,C,?,"Montevideo, Uruguay",0.0,71.0,0.0,49.5042,0.0,22.0
1,0,"Astor, Col. John Jacob",male,1,0,PC 17757,C62 C64,C,?,"New York, NY",0.0,47.0,0.0,227.525,0.0,124.0
1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,1,0,PC 17757,C62 C64,C,4,"New York, NY",0.0,18.0,0.0,227.525,1.0,
1,1,"Aubart, Mme. Leontine Pauline",female,0,0,PC 17477,B35,C,9,"Paris, France",0.0,24.0,0.0,69.3,1.0,
1,1,"Barber, Miss. Ellen 'Nellie'",female,0,0,19877,?,S,6,?,0.0,26.0,0.0,78.85,1.0,
1,1,"Barkworth, Mr. Algernon Henry Wilson",male,0,0,27042,A23,S,B,"Hessle, Yorks",0.0,80.0,0.0,30.0,1.0,
1,0,"Baumann, Mr. John D",male,0,0,PC 17318,?,S,?,"New York, NY",1.0,,0.0,25.925,1.0,
1,0,"Baxter, Mr. Quigg Edmond",male,0,1,PC 17558,B58 B60,C,?,"Montreal, PQ",0.0,24.0,0.0,247.5208,1.0,
1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,0,1,PC 17558,B58 B60,C,6,"Montreal, PQ",0.0,50.0,0.0,247.5208,1.0,
1,1,"Bazzani, Miss. Albina",female,0,0,11813,D15,C,8,?,0.0,32.0,0.0,76.2917,1.0,
1,0,"Beattie, Mr. Thomson",male,0,0,13050,C6,C,A,"Winnipeg, MN",0.0,36.0,0.0,75.2417,1.0,
1,1,"Beckwith, Mr. Richard Leonard",male,1,1,11751,D35,S,5,"New York, NY",0.0,37.0,0.0,52.5542,1.0,
1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,1,1,11751,D35,S,5,"New York, NY",0.0,47.0,0.0,52.5542,1.0,
1,1,"Behr, Mr. Karl Howell",male,0,0,111369,C148,C,5,"New York, NY",0.0,26.0,0.0,30.0,1.0,
1,1,"Bidois, Miss. Rosalie",female,0,0,PC 17757,?,C,4,?,0.0,42.0,0.0,227.525,1.0,
1,1,"Bird, Miss. Ellen",female,0,0,PC 17483,C97,S,8,?,0.0,29.0,0.0,221.7792,1.0,
1,0,"Birnbaum, Mr. Jakob",male,0,0,13905,?,C,?,"San Francisco, CA",0.0,25.0,0.0,26.0,0.0,148.0
1,1,"Bishop, Mr. Dickinson H",male,1,0,11967,B49,C,7,"Dowagiac, MI",0.0,25.0,0.0,91.0792,1.0,
1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,1,0,11967,B49,C,7,"Dowagiac, MI",0.0,19.0,0.0,91.0792,1.0,
1,1,"Bissette, Miss. Amelia",female,0,0,PC 17760,C99,S,8,?,0.0,35.0,0.0,135.6333,1.0,
1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,0,0,110564,C52,S,D,"Stockholm, Sweden / Washington, DC",0.0,28.0,0.0,26.55,1.0,
1,0,"Blackwell, Mr. Stephen Weart",male,0,0,113784,T,S,?,"Trenton, NJ",0.0,45.0,0.0,35.5,1.0,
1,1,"Blank, Mr. Henry",male,0,0,112277,A31,C,7,"Glen Ridge, NJ",0.0,40.0,0.0,31.0,1.0,
